realProfileID,venue,year,title,authors
37,SIGMOD Record,2003,Database Research at UT Arlington,"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh"
38,SIGMOD Record,1995,Why Decision Support Fails and How To Fix It,"Kevin Strehlo, Ralph Kimball"
39,VLDB,1994,A Low-Cost Storage Server for Movie on Demand Databases,"Alexandros Biliris, Banu �zden, Abraham Silberschatz, Rajeev Rastogi"
40,VLDB,1999,Generating Call-Level Interfaces for Advanced Database Application Programming,"Theo H�rder, Norbert Ritter, Udo Nink"
41,SIGMOD Conference,2002,Clustering by pattern similarity in large data sets,"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang"
42,SIGMOD Conference,2000,MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality,"Manuel Rodriguez-Martinez, Joseph J�J�, John M. McGann, Nick Roussopoulos, Zhexuan Song, Stephen Kelley, Vadim Katz"
43,SIGMOD Conference,2000,Fact: A Learning Based Web Query Processing System,"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen"
44,SIGMOD Record,2001,SQL Multimedia and Application Packages (SQL/MM),"Jim Melton, Andrew Eisenberg"
45,VLDB,1996,Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,Amit P. Sheth
46,SIGMOD Conference,2001,XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),Per-�ke Larson
47,SIGMOD Conference,1994,Staggered Striping in Multimedia Information Systems,"Steven Berson, Richard R. Muntz, Shahram Ghandeharizadeh, Xiangyu Ju"
48,SIGMOD Record,2003,Multimedia streaming in large-scale sensor networks with mobile swarms,"Mario Gerla, Kaixin Xu"
49,SIGMOD Record,1994,How to Modify SQL Queries in Order to Guarantee Sure Answers,Hans-Joachim Klein
50,VLDB,1994,Materialization: A Powerful and Ubiquitous Abstraction Pattern,"Alain Pirotte, Esteban Zim�nyi, Tatiana Yakusheva, David Massart"
51,SIGMOD Conference,2001,Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta"
52,SIGMOD Record,1994,Data Modelling in the Large,Martin Bertram
53,SIGMOD Conference,2001,Updating XML,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy"
54,SIGMOD Record,2002,Research in Information Managment at Dublin City University,"Alan F. Smeaton, Mark Roantree"
55,SIGMOD Conference,1998,The Multidimensional Database System RasDaMan,"Andreas Dehmel, Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado"
56,VLDB,1999,The Value of Merge-Join and Hash-Join in SQL Server,Goetz Graefe
57,SIGMOD Conference,2002,Efficient execution of joins in a star schema,Andreas Weininger
58,VLDB J.,1999,The Intrinsic Problems of Structural Heterogeneity and an Approach to Their Solution,"Theo H�rder, Joachim Thomas, G�nter Sauter"
59,SIGMOD Conference,1999,A Database Perspective on Lotus Domino/Notes,C. Mohan
60,SIGMOD Record,1996,"Domains, Relations and Religious Wars",Rafael Camps
61,VLDB,2003,The Data-Centric Revolution in Networking,Scott Shenker
62,SIGMOD Conference,2003,Cache-and-Query for Wide Area Sensor Databases,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande"
63,VLDB,1995,A Cost Model for Clustered Object-Oriented Databases,"Zhao-Hui Tang, Jean-Robert Gruser, Georges Gardarin"
64,VLDB,1998,Expiring Data in a Warehouse,"Wilburt Labio, Jun Yang, Hector Garcia-Molina"
65,SIGMOD Record,1997,Opportunities in Information Management and Assurance,Xiaolei Qian
66,VLDB,1997,Finding Data in the Neighborhood,"Andr� Eickler, Alfons Kemper, Donald Kossmann"
67,SIGMOD Conference,2001,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas"
68,SIGMOD Record,2002,Editor's Notes,Ling Liu
69,SIGMOD Conference,2002,Rainbow: mapping-driven XQuery processing system,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ"
70,ACM Trans. Database Syst.,1995,Static Analysis Techniques for Predicting the Behavior of Active Database Rules,"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein"
71,SIGMOD Conference,1994,The ORES Temporal Database Management System,"Babis Theodoulidis, George Karvelis, Jayant Chaudhary, Aziz Ait-Braham, Simon Sou, George Andrianopoulos"
72,ACM Trans. Database Syst.,1996,Magic Conditions,"Hamid Pirahesh, Inderpal Singh Mumick, Raghu Ramakrishnan, Sheldon J. Finkelstein"
73,VLDB,1995,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,"Wolfgang Klas, Frank Moser, Achim Kraiss"
74,SIGMOD Conference,1998,"Ubiquitous, Self-tuning, Scalable Servers",Peter M. Spiro
75,VLDB,1999,Explaining Differences in Multidimensional Aggregates,Sunita Sarawagi
76,VLDB,1995,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,"Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung"
77,SIGMOD Conference,1994,Database in Crisis and Transition: A Technical Agenda for the Year 2001,David Vaskevitch
78,SIGMOD Conference,1995,"Workflow Automation: Applications, Technology, and Research (Tutorial)",Amit P. Sheth
79,SIGMOD Record,2000,"Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)","Krishna Kant, Prasant Mohapatra"
80,SIGMOD Record,2002,Why I Like Working in Academia,Richard T. Snodgrass
81,SIGMOD Conference,2001,Efficient and Tunable Similar Set Retrieval,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas"
82,VLDB,2002,Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,"Mahesh V. Soundalgekar, Soumen Chakrabarti, Shourya Roy"
83,VLDB,2001,"Business Process Coordination: State of the Art, Trends, and Open Issues","Meichun Hsu, Rivka Ladin, Umeshwar Dayal"
84,VLDB,2000,Work and Information Practices in the Sciences of Biodiversity,Geoffrey C. Bowker
85,SIGMOD Conference,1994,Data Modeling of Time-Based Media,"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis"
86,ACM Trans. Database Syst.,1995,Space Optimization in Deductive Databases,"S. Sudarshan, Divesh Srivastava, Raghu Ramakrishnan, Jeffrey F. Naughton"
87,SIGMOD Record,2000,Chair's Message,Richard T. Snodgrass
88,SIGMOD Record,1994,Trade Press News - Announcement and Preface,Rafael Alonso
89,SIGMOD Conference,2001,Improving Index Performance through Prefetching,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons"
90,SIGMOD Record,1996,New Programs at DARPA and NSF,Xiaolei Qian
91,VLDB,1999,"Physical Data Independence, Constraints, and Optimization with Universal Plans","Lucian Popa, Alin Deutsch, Val Tannen"
92,SIGMOD Conference,1999,An Adaptive Query Execution System for Data Integration,"Daniel S. Weld, Alon Y. Levy, Marc Friedman, Zachary G. Ives, Daniela Florescu"
93,VLDB,2001,The Semantic Web Paving the Way to the Knowledge Society,Pierre-Paul Sondag
94,VLDB,1997,Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications,"Rakesh Agrawal, John C. Shafer"
95,ACM Trans. Database Syst.,2003,Path sharing and predicate evaluation for high-performance XML filtering,"Yanlei Diao, Hao Zhang, Peter M. Fischer, Michael J. Franklin, Mehmet Altinel"
96,SIGMOD Conference,2003,Processing Set Expressions over Continuous Update Streams,"Sumit Ganguly, Minos N. Garofalakis, Rajeev Rastogi"
97,VLDB,1999,Performance Measurements of Compressed Bitmap Indices,Theodore Johnson
98,VLDB,1999,Hierarchical Prefix Cubes for Range-Sum Queries,"Chee Yong Chan, Yannis E. Ioannidis"
99,ACM Trans. Database Syst.,2003,Removing permissions in the flexible authorization framework,"�sa Hagstr�m, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia"
100,SIGMOD Conference,1998,ARIADNE: A System for Constructing Mediators for Internet Sources,"Ion Muslea, Greg Barish, Andrew Philpot, Craig A. Knoblock, Steven Minton, Jos� Luis Ambite, Pragnesh Jay Modi, Sheila Tejada, Naveen Ashish"
101,ACM Trans. Database Syst.,2001,Multiway spatial joins,"Dimitris Papadias, Nikos Mamoulis"
102,SIGMOD Conference,1996,Implementing Data Cubes Efficiently,"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan"
103,SIGMOD Record,1994,Recent Design Trade-offs in SQL3,"Nelson Mendon�a Mattos, Linda G. DeMichiel"
104,SIGMOD Record,1999,SQLJ-Part 1: SQL Routines Using the Java Programming Language,"Andrew Eisenberg, Jim Melton"
105,SIGMOD Conference,1997,Similarity-Based Queries for Time Series Data,"Alberto O. Mendelzon, Davood Rafiei"
106,SIGMOD Record,1999,"A Distributed Scientific Data Archive Using the Web, XML and SQL/MED","Alistair N. Dunlop, Jasmin L. Wason, Denis A. Nicole, Mark Papiani"
107,VLDB,2002,Viator - A Tool Family for Graphical Networking and Data View Creation,"Katja Tham, Axel Kilian, Dieter Merkel, Peter Rieger, Stephan Heymann, Gunnar Wegner, Johann Christoph Freytag"
108,SIGMOD Record,2001,Information Warfare and Security - Book Review,H. V. Jagadish
109,VLDB,1999,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,Kjetil N�rv�g
110,VLDB,1995,Estimating the Selectivity of Spatial Queries Using the `Correlation' Fractal Dimension,"Christos Faloutsos, Alberto Belussi"
111,VLDB J.,1999,Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution,"Dennis McLeod, Goksel Aslan"
112,SIGMOD Record,1994,Performance Evaluation of a New Distributed Deadlock Detection Algorithm,"Chim-fu Yeung, Kam-yiu Lam, Sheung-lun Hung"
113,SIGMOD Record,2001,SQL and Management of External Data,"Jan-Eike Michels, Jim Melton, Krishna G. Kulkarni, Peter M. Schwarz, Kathy Zeidenstein, Vanja Josifovski"
114,VLDB,2003,"AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments","Alberto Lerner, Dennis Shasha"
115,VLDB,1997,Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases,"Banu �zden, Minos N. Garofalakis, Abraham Silberschatz"
116,SIGMOD Conference,2001,REVIEW: A Real Time Virtual Walkthrough System,"Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou"
117,ACM Trans. Database Syst.,1994,A Modified Random Perturbation Method for Database Security,"Norman S. Matloff, Patrick Tendick"
118,SIGMOD Conference,1999,Managing Web Data,Dan Suciu
119,VLDB,1996,Loading the Data Warehouse Across Various Parallel Architectures,Vijay V. Raghavan
120,SIGMOD Record,1995,HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database,"Qing Li, Kamalakar Karlapalem, Chung-Dak Shum"
121,SIGMOD Record,2003,Reminiscences an Influential Papers,"Jeffrey F. Naughton, Minos N. Garofalakis, Kenneth A. Ross"
122,SIGMOD Record,1995,Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System,Jian Zhang
123,SIGMOD Conference,1998,Java and Relational Databases: SQLJ (Tutorial),"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner"
124,SIGMOD Conference,2002,Covering indexes for branching path queries,"Raghav Kaushik, Henry F. Korth, Jeffrey F. Naughton, Philip Bohannon"
125,SIGMOD Conference,1995,Semint: A System Prototype for Semantic Integration in Heterogeneous Databases,"Wen-Syan Li, Chris Clifton"
126,SIGMOD Record,2001,Career-Enhancing Services at SIGMOD Online,"Alexandros Labrinidis, Alberto O. Mendelzon"
127,SIGMOD Conference,1997,Revisiting Commit Processing in Distributed Database Systems,"Krithi Ramamritham, Jayant R. Haritsa, Ramesh Gupta"
128,ACM Trans. Database Syst.,1999,Type-Checking OQL Queries In the ODMG Type Systems,Suad Alagic
129,SIGMOD Conference,1995,Things Every Update Replication Customer Should Know,Rob Golding
130,SIGMOD Record,2003,In Memory of G�sli R. Hjaltason,Bj�rn ��r J�nsson
131,VLDB,1994,Query Optimization by Predicate Move-Around,"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv"
132,SIGMOD Conference,1998,Catching the Boat with Strudel: Experiences with a Web-Site Management System,"Jaewoo Kang, Dan Suciu, Alon Y. Levy, Daniela Florescu, Mary F. Fernandez"
133,SIGMOD Conference,2001,Adaptable Query Optimization and Evaluation in Temporal Middleware,"Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas"
134,SIGMOD Conference,1996,BIRCH: An Efficient Data Clustering Method for Very Large Databases,"Raghu Ramakrishnan, Miron Livny, Tian Zhang"
135,SIGMOD Conference,2002,Time-parameterized queries in spatio-temporal databases,"Dimitris Papadias, Yufei Tao"
136,SIGMOD Conference,1997,Scalable Parallel Data Mining for Association Rules,"Eui-Hong Han, Vipin Kumar, George Karypis"
137,ACM Trans. Database Syst.,2000,An algebraic approach to static analysis of active database rules,"Jennifer Widom, Elena Baralis"
138,VLDB,1995,OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,"Sorana Rabinovici, John Catozzi"
139,SIGMOD Conference,2002,Dwarf: shrinking the PetaCube,"Yannis Kotidis, Yannis Sismanis, Antonios Deligiannakis, Nick Roussopoulos"
140,SIGMOD Conference,1996,Thinksheet: A Tool for Tailoring Complex Documents,"Dao-I Lin, Peter Piatko, Roman Yangarber, Dennis Shasha"
141,SIGMOD Conference,1996,On-line Reorganization of Sparsely-populated B+trees,"Betty Salzberg, Chendong Zou"
142,SIGMOD Conference,2000,Handling Very Large Databases with Informix Extended Parallel Server,Andreas Weininger
143,VLDB,1994,Including Group-By in Query Optimization,"Surajit Chaudhuri, Kyuseok Shim"
144,VLDB,1995,Value-cognizant Speculative Concurrency Control,"Azer Bestavros, Spyridon Braoudakis"
145,SIGMOD Record,2002,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,James Geller
146,SIGMOD Record,2001,Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB),"Dan Suciu, Maurizio Lenzerini, Daniele Nardi, Werner Nutt"
147,SIGMOD Conference,1997,STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper),"Hector Garcia-Molina, Luis Gravano, Kevin Chen-Chuan Chang, Andreas Paepcke"
148,VLDB,1996,The X-tree : An Index Structure for High-Dimensional Data,"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim"
149,VLDB,2002,Eliminating Fuzzy Duplicates in Data Warehouses,"Rohit Ananthakrishna, Venkatesh Ganti, Surajit Chaudhuri"
150,VLDB,2003,A Database Striptease or How to Manage Your Personal Databases,"Michael J. Franklin, Surajit Chaudhuri, Alejandro P. Buchmann, Gerhard Weikum, Daniel A. Keim, Martin L. Kersten"
151,SIGMOD Conference,2002,An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,"Yildiray Kabak, Gokce Laleci, Sait Pektas, Serkan Toprak, Yusuf Tambag, Gokhan Kurt, Asuman Dogac, Pinar Pembecioglu"
152,SIGMOD Record,1995,Temporal Database System Implementations,Michael H. B�hlen
153,VLDB,2003,XSEarch: A Semantic Search Engine for XML,"Yaron Kanza, Yehoshua Sagiv, Sara Cohen, Jonathan Mamou"
154,VLDB,1995,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis"
155,ACM Trans. Database Syst.,2002,Atomicity and isolation for transactional processes,"Hans-J�rg Schek, Gustavo Alonso, Heiko Schuldt, Catriel Beeri"
156,SIGMOD Conference,1999,Logical Logging to Extend Recovery to New Domains,"David B. Lomet, Mark R. Tuttle"
157,SIGMOD Conference,1994,The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,"Jacek Skowronek, Maurice van Keulen, Jan Flokstra"
158,SIGMOD Conference,1997,Online Aggregation,"Helen J. Wang, Peter J. Haas, Joseph M. Hellerstein"
159,SIGMOD Conference,1996,"Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases","Artur Klauser, Alexander L. Wolf, Benjamin G. Zorn, Jonathan E. Cook"
160,VLDB,1998,A Single Pass Computing Engine for Interactive Analysis of VLDBs,Ted Mihalisin
161,VLDB,1996,Fast Nearest Neighbor Search in Medical Image Databases,"Zenon Protopapas, Christos Faloutsos, Eliot Siegel, Flip Korn, Nikolaos Sidiropoulos"
162,SIGMOD Record,1994,Metadata for Digital Media: Introduction to the Special Issue,"Amit P. Sheth, Wolfgang Klas"
163,SIGMOD Record,1996,"In Reply to Domains, relations and Religious Wars",Hugh Darwen
164,VLDB,1998,Bank of America Case Study: The Information Currency Advantage,"Mark Jahnke, Felipe Cari�o"
165,VLDB J.,2002,Tree pattern query minimization,"Divesh Srivastava, SungRan Cho, Laks V. S. Lakshmanan, Sihem Amer-Yahia"
166,SIGMOD Record,1998,ADEPT: An Agent-Based Approach to Business Process Management,"Timothy J. Norman, Nicholas R. Jennings, Peyman Faratin"
167,SIGMOD Record,2001,Introduction to the Career Forum Column,Alexandros Labrinidis
168,SIGMOD Conference,2000,Image Mining in IRIS: Integrated Retinal Information System,"Kheng Guan Goh, Wynne Hsu, Mong-Li Lee"
169,SIGMOD Conference,1994,Enterprise Information Architectures -- They're Finally Changing,Wesley P. Melling
170,VLDB,2003,Integrating Information for On Demand Computing,Nelson Mendon�a Mattos
171,VLDB J.,1995,Th�mis: A Database Programming Language Handling Integrity Constraints,"Anne Doucet, V�ronique Benzaken"
172,VLDB J.,1994,An Introduction to Deductive Database Languages and Systems,"Kotagiri Ramamohanarao, James Harland"
173,VLDB,2002,Information Management Challenges from the Aerospace Industry,Suryanarayana M. Sripada
174,SIGMOD Conference,1996,State of the Art in Workflow Management Research and Products,C. Mohan
175,SIGMOD Record,1999,VideoAnywhere: A System for Searching and Managing Distributed Video Assets,"Amit P. Sheth, Kshitij Shah, Clemens Bertram"
176,SIGMOD Record,2002,Phoenix Project: Fault-Tolerant Applications,"Roger S. Barga, David B. Lomet"
177,SIGMOD Conference,1995,DIRECTV and Oracle Rdb: The Challenges of VLDB Transaction Processing,William L. Gettys
178,SIGMOD Conference,1994,Ensuring Relaxed Atomicity for Flexible Transactions in Multidatabase Systems,"Bharat K. Bhargava, Aidong Zhang, Marian H. Nodine, Omran A. Bukhres"
179,SIGMOD Conference,1998,"Replication, Consistency, and Practicality: Are These Mutually Exclusive?","Avishai Wool, Henry F. Korth, Yuri Breitbart, Todd A. Anderson"
180,VLDB,2002,A-TOPSS - A Publish/Subscribe System Supporting Approximate Matching,"Hans-Arno Jacobsen, Haifeng Liu"
181,ACM Trans. Database Syst.,2002,Searching in metric spaces with user-defined and approximate distances,"Marco Patella, Paolo Ciaccia"
182,SIGMOD Conference,1996,Algorithms for Deferred View Maintenance,"Leonid Libkin, Inderpal Singh Mumick, Latha S. Colby, Howard Trickey, Timothy Griffin"
183,VLDB,2000,Design and Development of a Stream Service in a Heterogenous Client Environment,"Stavros Christodoulakis, Nikos Pappas"
184,SIGMOD Conference,2002,COUGAR: the network is the database,"Wai Fu Fung, David Sun, Johannes Gehrke"
185,SIGMOD Conference,1995,The Data That You Won't Find in Databases: Tutorial panel on data exchange formats,"David Maier, Peter Buneman"
186,VLDB J.,2000,Effective Timestamping in Databases,"Christian S. Jensen, Kristian Torp, Richard T. Snodgrass"
187,ACM Trans. Database Syst.,2002,SilkRoute: A framework for publishing relational data in XML,"Dan Suciu, Yana Kadiyska, Wang Chiew Tan, Mary F. Fernandez, Atsuyuki Morishima"
188,VLDB,2003,The TPR*-Tree: An Optimized Spatio-Temporal Access Method for Predictive Queries,"Dimitris Papadias, Jimeng Sun, Yufei Tao"
189,SIGMOD Record,1996,Editor's Notes,Jennifer Widom
190,VLDB,2003,Mapping Adaptation under Evolving Schemas,"Yannis Velegrakis, Lucian Popa, Ren�e J. Miller"
191,VLDB,2003,The ND-Tree: A Dynamic Indexing Technique for Multidimensional Non-ordered Discrete Data Spaces,"Gang Qian, Qiang Xue, Sakti Pramanik, Qiang Zhu"
192,SIGMOD Conference,1998,Transactional Publish / Subscribe: The Proactive Multicast of Database Changes,Arvola Chan
193,SIGMOD Conference,2001,Exploiting Constraint-Like Data Characterizations in Query Optimization,"Jarek Gryz, Calisto Zuzarte, Parke Godfrey"
194,VLDB,1996,Clustering Techniques for Minimizing External Path Length,"A. A. Diwan, S. Sudarshan, Sanjeeva Rane, S. Seshadri"
195,VLDB,1998,The National Medical Knowledge Bank,Warren Sterling
196,VLDB J.,2003,Guest editorial,"Vijay Atluri, Anupam Joshi, Yelena Yesha"
197,VLDB,2002,An Automated System for Web Portal Personalization,"Philip S. Yu, Charu C. Aggarwal"
198,VLDB,2001,WebFilter: A High-throughput XML-based Publish and Subscribe System,"Fran�oise Fabret, Dennis Shasha, Hans-Arno Jacobsen, Fran�ois Llirbat, Jo�o Pereira"
199,SIGMOD Record,1997,OGDI: Toward Interoperability among Geospatial Databases,"Denis Gouin, Henry Kucera, Christian Larouche, Gilles Clement, Paul Morin"
200,SIGMOD Record,2000,Editor's Notes,Michael J. Franklin
201,SIGMOD Conference,1998,Dimensionality Reduction for Similarity Searching in Dynamic Databases,"Ambuj K. Singh, Kothuri Venkata Ravi Kanth, Divyakant Agrawal"
202,VLDB,2000,Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion"
203,VLDB,1998,Oracle Industrial Exhibit,Amy Pogue
204,VLDB,1997,A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,"Khaled Alsabti, Vineet Singh, Sanjay Ranka"
205,SIGMOD Record,2001,Editor's Notes,Ling Liu
206,VLDB,2002,Translating Web Data,"Ren�e J. Miller, Ronald Fagin, Yannis Velegrakis, Mauricio A. Hern�ndez, Lucian Popa"
207,SIGMOD Conference,1996,Repository System Engineering,Philip A. Bernstein
208,SIGMOD Record,2000,SIGMOD Sister Societies,"Z. Meral �zsoyoglu, Stefano Ceri, Victor Vianu, Masaru Kitsuregawa, Leonid A. Kalinichenko, Hongjun Lu, Richard T. Snodgrass"
209,VLDB J.,2001,Semantic integrity support in SQL: 1999 and commercial (object-)relational database management systems,"Michael Gertz, Can T�rker"
210,VLDB J.,1995,"Adaptable Pointer Swizzling Strategies in Object Bases: Design, Realization, and Quantitative Analysis","Alfons Kemper, Donald Kossmann"
211,SIGMOD Conference,2002,Implementing XQuery,Paul Cotton
212,VLDB,1998,Mining Surprising Patterns Using Temporal Description Length,"Soumen Chakrabarti, Byron Dom, Sunita Sarawagi"
213,SIGMOD Conference,2002,Continually evaluating similarity-based pattern queries on a streaming time series,"Like Gao, Xiaoyang Sean Wang"
214,VLDB,2003,Efficient Approximation Of Optimization Queries Under Parametric Aggregation Constraints,"Dimitrios Gunopulos, Nick Koudas, Divesh Srivastava, Michail Vlachos, Sudipto Guha"
